"","Tags","","","","","","","",""
"Name","Date","What headphones are you using?","How would you describe your knowledge of audio quality?","Audio Question 1 ","Audio Question 2 ","Audio Question 3 ","Audio Question 4 ","Audio Question 5 ","Audio Question 6 "
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:04:54","In ear","I don't normally pay special attention to audio quality.","B,","B,","B,","B,","B,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:04:19","Over ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","A,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:03:51","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:03:28","In ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:02:56","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:02:32","On ear","I don't normally pay special attention to audio quality.","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,","A,","A,","A,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:02:10","Over ear","I don't normally pay special attention to audio quality.","A,","A,","A,","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 02:01:48","In ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:59:45","Over ear","I am an audio enthusiast but I don't work in the area.","B,","B,","Neither, they sound too similar,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:59:13","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:58:49","On ear","I don't normally pay special attention to audio quality.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:54:17","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:53:30","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:48:48","In ear","I don't normally pay special attention to audio quality.","B,","Neither, they sound too similar,","B,","Neither, they sound too similar,","B,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:48:23","Over ear","I am an audio enthusiast but I don't work in the area.","Neither, they sound too similar,","B,","Neither, they sound too similar,","B,","Neither, they sound too similar,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:46:44","Over ear","I don't normally pay special attention to audio quality.","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:46:23","In ear","I don't normally pay special attention to audio quality.","A,","A,","A,","A,","A,","A,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:45:29","In ear","I am an audio enthusiast but I don't work in the area.","B,","B,","B,","Neither, they sound too similar,","Neither, they sound too similar,","B,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:43:40","Over ear","I don't normally pay special attention to audio quality.","Neither, they sound too similar,","B,","B,","Neither, they sound too similar,","B,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:41:47","In ear","I don't normally pay special attention to audio quality.","A,","Neither, they sound too similar,","A,","Neither, they sound too similar,","A,","Neither, they sound too similar,"
"Quality assessment of an algorithmic reverb (early reflections section)   ","2023-07-11 01:41:19","In ear","I am a professional working in the area of audio.","B,","B,","B,","B,","B,","B,"
